District number,District name,Liberal,Conservative,Green Party,NDP-New Democratic Party,People's Party,Bloc Québécois,Independent,Other votes,Winner_shorthand,Total votes
35074,Oshawa,15750,24087,3151,17668,1215,0,0,120,PC,61991
35048,Lambton--Kent--Middlesex,14814,28651,3463,9355,1804,0,0,325,PC,58412
24019,Charlesbourg--Haute-Saint-Charles,12584,22484,2042,4554,1379,16053,0,4,PC,59100
35114,Whitby,30182,24564,3735,9760,860,0,0,2,Liberal,69103
35100,Simcoe North,19310,27241,5882,8850,1154,0,0,342,PC,62779
24025,Drummond,9552,9083,1856,8716,525,24574,0,520,Bloc,54826
24031,Joliette,12995,5176,2343,2623,498,33590,0,474,Bloc,57699
59019,New Westminster--Burnaby,12414,11439,4378,23437,862,0,83,364,NDP,52977
59025,Richmond Centre,11052,19037,2376,5617,538,0,197,0,PC,38817
59031,Steveston--Richmond East,14731,17478,2972,6321,0,0,449,4,PC,41955
59030,South Surrey--White Rock,21692,24310,4458,6716,852,0,0,0,PC,58028
59024,Prince George--Peace River--Northern Rockies,6391,38473,3448,5069,1748,0,0,0,PC,55129
59018,Nanaimo--Ladysmith,9735,18634,24844,16985,1049,0,306,311,Green,71864
24030,Hull--Aylmer,29732,4979,3869,7467,638,8011,0,297,Liberal,54993
24024,Dorval--Lachine--LaSalle,27821,5543,2898,6207,528,8974,0,603,Liberal,52574
35101,Spadina--Fort York,33822,10680,3174,12188,672,0,114,3,Liberal,60653
35115,Willowdale,22282,16452,1671,4231,563,0,271,1,Liberal,45471
24018,Rimouski-Neigette--Témiscouata--Les Basques,10095,4073,824,13050,232,17314,0,182,Bloc,45770
35049,Lanark--Frontenac--Kingston,15441,30077,7011,8835,1117,0,0,1,PC,62482
